model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 3 Series,2015,15587,Manual,78053,Petrol,165,44.8,2.0
 3 Series,2018,24044,Semi-Auto,26231,Diesel,145,64.2,2.0
 X1,2016,22837,Manual,23557,Diesel,125,58.9,2.0
 2 Series,2015,22035,Automatic,33300,Petrol,260,37.2,3.0
 1 Series,2016,19048,Manual,9461,Diesel,20,70.6,1.5
 3 Series,2019,51935,Semi-Auto,1341,Diesel,150,43.5,3.0
 1 Series,2013,14885,Manual,66621,Petrol,205,42.8,2.0
 5 Series,2020,46794,Automatic,2500,Hybrid,145,62.8,2.0
 4 Series,2020,42358,Automatic,2500,Petrol,145,48.7,2.0
 M2,2020,61094,Automatic,4500,Petrol,145,29.1,3.0
 1 Series,2020,42244,Automatic,10,Diesel,145,48.7,2.0
 X2,2020,45499,Automatic,1217,Diesel,145,58.9,2.0
 X4,2020,53294,Automatic,10,Diesel,145,42.8,2.0
 X2,2020,49394,Automatic,2500,Petrol,145,34.0,2.0
 3 Series,2014,16887,Semi-Auto,67617,Diesel,125,57.6,3.0
 3 Series,2017,22802,Automatic,35630,Diesel,145,62.8,2.0
 1 Series,2017,18980,Semi-Auto,37566,Diesel,150,67.3,2.0
 2 Series,2017,17668,Manual,15001,Diesel,145,74.3,1.5
 X1,2016,20788,Manual,39917,Diesel,125,58.9,2.0
 X1,2016,23270,Semi-Auto,18713,Diesel,150,55.4,2.0
 4 Series,2016,25935,Automatic,20600,Diesel,125,60.1,2.0
 4 Series,2019,35685,Semi-Auto,6124,Petrol,150,45.6,2.0
 X5,2019,67535,Semi-Auto,13,Diesel,150,37.7,3.0
 4 Series,2017,26585,Semi-Auto,26680,Petrol,150,45.6,2.0
 3 Series,2018,22035,Semi-Auto,27641,Diesel,150,65.7,2.0
 3 Series,2019,33085,Semi-Auto,9368,Diesel,150,52.3,2.0
 3 Series,2017,25285,Semi-Auto,31508,Diesel,150,62.8,2.0
 2 Series,2019,30485,Semi-Auto,8371,Petrol,150,48.7,1.5
 X5,2019,62335,Semi-Auto,6960,Diesel,150,37.7,3.0
 7 Series,2019,55835,Semi-Auto,19870,Petrol,150,33.6,3.0
 1 Series,2020,35744,Semi-Auto,1500,Diesel,145,51.4,2.0
 3 Series,2020,51994,Semi-Auto,5302,Diesel,145,45.6,3.0
 3 Series,2020,43544,Semi-Auto,4500,Diesel,145,48.7,2.0
 X1,2017,24635,Semi-Auto,40519,Diesel,125,57.6,2.0
 2 Series,2018,25935,Semi-Auto,27312,Diesel,145,57.6,2.0
 3 Series,2015,22685,Semi-Auto,55109,Diesel,160,51.4,3.0
 1 Series,2015,18135,Manual,36916,Petrol,150,50.4,1.6
 1 Series,2018,23985,Semi-Auto,14324,Diesel,150,49.6,2.0
 5 Series,2020,41594,Semi-Auto,6000,Hybrid,145,60.1,2.0
 3 Series,2020,45494,Semi-Auto,10,Diesel,145,49.6,2.0
 X2,2020,42244,Semi-Auto,1255,Diesel,145,58.9,2.0
 5 Series,2020,45494,Semi-Auto,10,Hybrid,145,49.6,2.0
 1 Series,2020,40944,Semi-Auto,1250,Diesel,145,48.7,2.0
 3 Series,2020,44194,Semi-Auto,4500,Diesel,145,50.4,2.0
 3 Series,2020,47444,Semi-Auto,789,Diesel,145,49.6,2.0
 2 Series,2020,29835,Manual,14,Petrol,145,52.3,1.5
 1 Series,2019,29835,Manual,2181,Diesel,145,72.4,1.5
 2 Series,2020,33085,Semi-Auto,6,Diesel,145,49.6,2.0
 4 Series,2020,46085,Semi-Auto,10,Diesel,145,47.9,3.0
 5 Series,2020,38935,Semi-Auto,9,Hybrid,145,49.6,2.0
 3 Series,2019,33085,Semi-Auto,11208,Diesel,145,52.3,2.0
 5 Series,2019,39585,Semi-Auto,10191,Hybrid,135,156.9,2.0
 X3,2019,44785,Semi-Auto,5015,Diesel,145,54.3,2.0
 X2,2019,41535,Semi-Auto,6801,Diesel,145,58.9,2.0
 2 Series,2019,26585,Semi-Auto,7404,Petrol,145,53.3,1.5
 3 Series,2016,19435,Semi-Auto,51741,Diesel,30,62.8,2.0
 1 Series,2018,17485,Manual,33113,Diesel,150,68.9,2.0
 3 Series,2019,40885,Semi-Auto,4618,Diesel,150,52.3,2.0
 X4,2019,55185,Semi-Auto,10910,Diesel,150,42.8,2.0
 4 Series,2019,33735,Semi-Auto,11259,Diesel,150,60.1,2.0
 X3,2015,27235,Semi-Auto,28416,Diesel,150,54.3,2.0
 3 Series,2018,27885,Semi-Auto,16244,Petrol,150,48.7,2.0
 5 Series,2019,49985,Automatic,14522,Diesel,145,62.8,2.0
 4 Series,2019,40299,Semi-Auto,8701,Petrol,145,41.5,3.0
 X3,2019,51999,Semi-Auto,3769,Petrol,145,34.5,3.0
 X5,2019,68899,Semi-Auto,6297,Petrol,145,27.2,3.0
 3 Series,2019,29835,Semi-Auto,6414,Diesel,145,62.8,2.0
 2 Series,2019,30485,Semi-Auto,3564,Petrol,145,50.4,2.0
 X1,2016,22035,Semi-Auto,35900,Diesel,125,60.1,2.0
 M4,2017,43485,Semi-Auto,25777,Petrol,145,34.0,3.0
 4 Series,2017,25935,Semi-Auto,18801,Diesel,30,65.7,2.0
 4 Series,2017,24310,Semi-Auto,21950,Diesel,145,65.7,2.0
 3 Series,2017,22295,Semi-Auto,35825,Diesel,145,62.8,2.0
 X1,2018,21411,Manual,27041,Diesel,150,68.9,2.0
 X2,2019,34449,Manual,2424,Diesel,145,49.6,2.0
 3 Series,2019,36399,Semi-Auto,7035,Diesel,145,48.7,2.0
 2 Series,2019,28599,Semi-Auto,9957,Diesel,145,49.6,2.0
 6 Series,2019,41599,Semi-Auto,7994,Petrol,145,42.8,2.0
 2 Series,2019,31199,Semi-Auto,6883,Petrol,145,47.9,2.0
 5 Series,2019,51999,Semi-Auto,5877,Diesel,145,60.1,2.0
 X3,2019,48099,Automatic,1500,Diesel,145,54.3,2.0
 5 Series,2019,50694,Automatic,6500,Hybrid,135,156.9,2.0
 X3,2019,48099,Automatic,7105,Diesel,145,54.3,2.0
 4 Series,2019,42894,Manual,3500,Petrol,145,46.3,2.0
 2 Series,2019,29835,Semi-Auto,8539,Petrol,145,50.4,1.5
 3 Series,2014,16185,Manual,56523,Diesel,125,57.6,2.0
 X3,2016,29835,Semi-Auto,9214,Diesel,150,54.3,2.0
 5 Series,2018,37635,Semi-Auto,15878,Diesel,150,53.3,3.0
 2 Series,2015,20735,Manual,25652,Petrol,125,53.3,1.5
 4 Series,2019,35035,Semi-Auto,3849,Diesel,145,60.1,2.0
 X2,2019,34385,Manual,3172,Diesel,145,55.4,2.0
 4 Series,2019,35035,Semi-Auto,4842,Diesel,145,60.1,2.0
 X1,2020,35035,Manual,18,Petrol,145,49.6,1.5
 4 Series,2019,35035,Semi-Auto,8812,Diesel,145,60.1,2.0
 Z4,2019,35685,Semi-Auto,7363,Petrol,145,38.2,2.0
 5 Series,2019,41535,Semi-Auto,10776,Diesel,145,60.1,3.0
 4 Series,2019,43544,Automatic,99,Petrol,145,48.7,2.0
 X3,2019,48094,Automatic,3500,Diesel,145,54.3,2.0
 X3,2019,45435,Automatic,5325,Diesel,145,54.3,2.0
 X3,2019,48035,Automatic,2500,Diesel,145,54.3,2.0
 X3,2019,46799,Automatic,7000,Diesel,145,54.3,2.0
 4 Series,2019,45494,Automatic,3999,Petrol,145,41.5,3.0
 Z4,2015,21385,Semi-Auto,22583,Petrol,200,41.5,2.0
 2 Series,2019,27235,Manual,4434,Diesel,145,64.2,2.0
 1 Series,2018,25935,Semi-Auto,9271,Petrol,145,47.9,2.0
 1 Series,2016,16835,Manual,52647,Diesel,30,65.7,2.0
 X4,2016,28535,Semi-Auto,50944,Diesel,205,47.9,3.0
 5 Series,2017,27235,Semi-Auto,37034,Diesel,150,65.7,2.0
 5 Series,2020,38285,Semi-Auto,10,Petrol,145,36.2,2.0
 3 Series,2020,29835,Manual,11,Diesel,145,58.9,2.0
 2 Series,2020,30485,Semi-Auto,8,Diesel,145,67.3,2.0
 3 Series,2020,38935,Semi-Auto,20,Petrol,145,41.5,2.0
 2 Series,2020,31135,Semi-Auto,11,Petrol,145,50.4,1.5
 X3,2019,43485,Semi-Auto,2839,Diesel,145,54.3,2.0
 5 Series,2019,39585,Semi-Auto,4885,Diesel,145,60.1,2.0
 4 Series,2019,34385,Semi-Auto,3989,Petrol,145,45.6,2.0
 X5,2019,68835,Semi-Auto,3309,Petrol,145,27.2,3.0
 1 Series,2019,29835,Semi-Auto,4811,Diesel,145,60.1,2.0
 4 Series,2020,35035,Semi-Auto,10,Diesel,145,65.7,2.0
 3 Series,2016,22685,Semi-Auto,16413,Diesel,30,62.8,2.0
 3 Series,2019,40885,Semi-Auto,3000,Petrol,145,42.2,2.0
 1 Series,2018,29835,Semi-Auto,14537,Diesel,150,60.1,2.0
 2 Series,2019,32435,Semi-Auto,4534,Diesel,145,46.3,2.0
 X5,2017,41535,Automatic,27932,Diesel,145,47.1,3.0
 1 Series,2019,24635,Semi-Auto,7990,Diesel,145,68.9,1.5
 X7,2019,96135,Semi-Auto,9121,Diesel,145,31.4,3.0
 2 Series,2019,26585,Semi-Auto,3344,Diesel,145,49.6,2.0
 4 Series,2019,34385,Semi-Auto,3376,Diesel,145,60.1,2.0
 3 Series,2019,31135,Semi-Auto,5445,Diesel,145,62.8,2.0
 X6,2015,48035,Semi-Auto,22032,Petrol,570,25.4,4.4
 3 Series,2019,33735,Semi-Auto,2344,Diesel,145,62.8,2.0
 2 Series,2019,28535,Semi-Auto,9275,Petrol,145,40.9,1.5
 2 Series,2019,23985,Manual,7293,Diesel,145,54.3,2.0
 1 Series,2019,28535,Manual,101,Diesel,145,70.6,1.5
 1 Series,2019,24635,Manual,6675,Diesel,145,70.6,1.5
 X4,2019,60385,Semi-Auto,9374,Diesel,145,37.2,3.0
 1 Series,2019,29732,Manual,3000,Petrol,145,41.5,1.5
 X3,2019,40885,Semi-Auto,9053,Diesel,145,54.3,2.0
 X2,2019,35035,Semi-Auto,11386,Diesel,145,58.9,2.0
 2 Series,2020,45435,Semi-Auto,1107,Diesel,145,62.8,2.0
 2 Series,2020,42185,Semi-Auto,1118,Diesel,145,51.4,2.0
 6 Series,2020,58435,Semi-Auto,1237,Diesel,145,44.1,2.0
 2 Series,2019,29835,Manual,9688,Diesel,145,65.7,2.0
 2 Series,2019,28535,Semi-Auto,7423,Diesel,145,65.7,2.0
 2 Series,2019,32435,Semi-Auto,13,Diesel,145,62.8,2.0
 2 Series,2019,33085,Semi-Auto,13,Diesel,145,62.8,2.0
 X3,2019,45435,Semi-Auto,14,Diesel,145,54.3,2.0
 4 Series,2019,40235,Semi-Auto,6212,Petrol,145,44.8,2.0
 2 Series,2019,27235,Semi-Auto,6418,Petrol,145,47.9,2.0
 1 Series,2019,23985,Semi-Auto,8644,Diesel,145,47.9,1.5
 2 Series,2019,28535,Manual,10,Diesel,145,64.2,2.0
 X2,2019,33085,Semi-Auto,9467,Diesel,145,50.4,2.0
 3 Series,2019,36985,Semi-Auto,13998,Petrol,145,42.2,2.0
 3 Series,2019,36985,Semi-Auto,14850,Diesel,145,48.7,2.0
 1 Series,2019,25935,Manual,10,Petrol,145,53.3,1.5
 3 Series,2019,43485,Semi-Auto,5004,Diesel,145,49.6,2.0
 Z4,2019,42185,Semi-Auto,9955,Petrol,145,38.7,2.0
 X2,2019,35685,Semi-Auto,14368,Diesel,145,58.9,2.0
 3 Series,2019,43074,Semi-Auto,5,Diesel,145,52.3,2.0
 1 Series,2018,26585,Semi-Auto,14602,Diesel,145,60.1,2.0
 M4,2016,129935,Automatic,771,Petrol,300,33.2,3.0
 X4,2017,29900,Semi-Auto,18441,Diesel,145,54.3,2.0
 5 Series,2019,43544,Semi-Auto,4913,Diesel,145,51.4,3.0
 X5,2019,58500,Semi-Auto,9450,Diesel,145,37.7,3.0
 1 Series,2015,22035,Semi-Auto,38178,Petrol,240,37.7,3.0
 3 Series,2019,33735,Semi-Auto,3655,Diesel,150,52.3,2.0
 2 Series,2016,15600,Manual,37847,Petrol,125,53.3,1.5
 3 Series,2019,38350,Semi-Auto,5000,Diesel,145,48.7,2.0
 X4,2017,32500,Semi-Auto,18150,Diesel,200,47.9,3.0
 5 Series,2017,32494,Semi-Auto,50195,Petrol,150,39.2,3.0
 2 Series,2017,18200,Semi-Auto,19826,Petrol,150,55.4,1.5
 2 Series,2016,18844,Semi-Auto,39326,Petrol,125,51.4,1.5
 5 Series,2015,19226,Semi-Auto,44684,Diesel,125,60.1,2.0
 3 Series,2015,23387,Automatic,27369,Diesel,160,51.4,3.0
 2 Series,2018,25935,Semi-Auto,10206,Petrol,145,50.4,1.5
 3 Series,2016,22035,Semi-Auto,28059,Diesel,30,62.8,2.0
 2 Series,2017,23335,Semi-Auto,10816,Petrol,145,51.4,1.5
 2 Series,2019,39585,Semi-Auto,20,Diesel,145,62.8,2.0
 X3,2019,46085,Semi-Auto,8891,Diesel,145,54.3,2.0
 4 Series,2019,48685,Semi-Auto,10,Diesel,145,60.1,2.0
 X2,2020,48035,Semi-Auto,10,Diesel,145,50.4,2.0
 5 Series,2019,40885,Semi-Auto,500,Diesel,145,62.8,2.0
 X1,2019,30485,Manual,10,Petrol,145,51.4,1.5
 1 Series,2019,30485,Manual,10,Diesel,145,70.6,1.5
 3 Series,2018,27885,Semi-Auto,5184,Diesel,145,64.2,2.0
 2 Series,2020,38935,Semi-Auto,10,Diesel,145,48.7,2.0
 1 Series,2020,34444,Semi-Auto,10,Petrol,145,42.8,1.5
 3 Series,2020,51935,Semi-Auto,10,Diesel,145,48.7,2.0
 X2,2019,33085,Semi-Auto,5652,Diesel,145,47.9,2.0
 2 Series,2020,33800,Semi-Auto,1501,Petrol,145,42.2,1.5
 1 Series,2019,29900,Manual,2361,Petrol,145,41.5,1.5
 3 Series,2019,40300,Semi-Auto,2974,Diesel,145,49.6,2.0
 4 Series,2019,35100,Semi-Auto,100,Diesel,145,65.7,2.0
 3 Series,2019,40300,Semi-Auto,100,Diesel,145,52.3,2.0
 2 Series,2019,27300,Manual,50,Petrol,145,52.3,1.5
 1 Series,2019,32500,Semi-Auto,1705,Diesel,145,51.4,2.0
 1 Series,2019,20735,Manual,8004,Petrol,150,53.3,1.5
 3 Series,2019,40235,Semi-Auto,3724,Diesel,145,52.3,2.0
 X5,2019,66235,Semi-Auto,4322,Diesel,150,37.7,3.0
 2 Series,2019,28535,Semi-Auto,7211,Petrol,150,47.9,2.0
 1 Series,2019,33735,Semi-Auto,6581,Diesel,145,67.3,2.0
 3 Series,2019,38285,Semi-Auto,5392,Diesel,145,52.3,2.0
 X2,2020,40300,Semi-Auto,1121,Petrol,145,34.0,2.0
 Z4,2020,40300,Semi-Auto,1595,Petrol,145,38.7,2.0
 1 Series,2019,23400,Manual,6097,Petrol,145,53.3,1.5
 3 Series,2019,35100,Semi-Auto,4814,Diesel,145,52.3,2.0
 3 Series,2020,44200,Semi-Auto,1595,Diesel,145,50.4,2.0
 X6,2020,72794,Semi-Auto,3291,Diesel,145,33.2,3.0
 2 Series,2016,19494,Manual,13250,Diesel,20,68.9,2.0
 1 Series,2013,11694,Manual,56361,Diesel,30,62.8,2.0
 X3,2015,22744,Semi-Auto,38013,Diesel,150,54.3,2.0
 1 Series,2019,42900,Semi-Auto,2250,Petrol,150,34.5,2.0
 X3,2017,24700,Semi-Auto,33316,Diesel,150,54.3,2.0
 X3,2018,38350,Semi-Auto,28885,Diesel,150,48.7,3.0
 M3,2015,40300,Semi-Auto,16517,Petrol,305,34.0,3.0
 2 Series,2016,20794,Semi-Auto,24735,Diesel,30,62.8,2.0
 3 Series,2020,41600,Semi-Auto,1798,Diesel,145,52.3,2.0
 3 Series,2018,29894,Semi-Auto,8259,Petrol,145,48.7,2.0
 3 Series,2014,15145,Semi-Auto,89096,Diesel,145,55.4,2.0
 1 Series,2016,13702,Manual,69981,Petrol,125,53.3,1.5
 1 Series,2017,14339,Manual,35321,Diesel,145,83.1,1.5
 3 Series,2014,16068,Semi-Auto,68469,Diesel,125,57.6,2.0
 1 Series,2017,17810,Automatic,20574,Diesel,145,70.6,2.0
 X3,2017,25208,Semi-Auto,58044,Diesel,145,54.3,2.0
 7 Series,2017,50635,Semi-Auto,7500,Petrol,150,35.3,4.4
 M4,2019,61035,Semi-Auto,4500,Petrol,150,32.5,3.0
 1 Series,2019,23400,Manual,4696,Petrol,145,53.3,1.5
 3 Series,2020,38999,Semi-Auto,9,Diesel,145,50.4,2.0
 6 Series,2020,44199,Semi-Auto,11,Petrol,145,42.8,2.0
 3 Series,2020,33799,Manual,4,Diesel,145,54.3,2.0
 4 Series,2020,50992,Semi-Auto,10,Petrol,145,48.7,2.0
 4 Series,2020,62602,Semi-Auto,10,Petrol,145,44.8,2.0
 X4,2019,58500,Semi-Auto,7815,Petrol,145,26.9,3.0
 2 Series,2016,22685,Semi-Auto,31473,Diesel,145,55.4,2.0
 X3,2020,46800,Semi-Auto,3116,Diesel,145,54.3,2.0
 2 Series,2020,36400,Semi-Auto,1501,Diesel,145,65.7,2.0
 1 Series,2020,35100,Semi-Auto,1501,Diesel,145,51.4,2.0
 M2,2020,59800,Semi-Auto,1501,Petrol,145,29.1,3.0
 X1,2019,38350,Semi-Auto,6000,Diesel,145,60.1,2.0
 X1,2019,29900,Manual,1701,Petrol,145,51.4,1.5
 X1,2017,25994,Semi-Auto,20570,Diesel,145,55.4,2.0
 3 Series,2019,36400,Manual,6899,Diesel,145,54.3,2.0
 3 Series,2019,37700,Semi-Auto,8555,Petrol,145,40.9,2.0
 X1,2019,32500,Semi-Auto,8650,Diesel,145,60.1,2.0
 X5,2019,63700,Semi-Auto,6170,Diesel,145,37.7,3.0
 X1,2014,14300,Semi-Auto,50924,Diesel,160,52.3,2.0
 X7,2020,93600,Semi-Auto,3116,Diesel,145,31.4,3.0
 3 Series,2018,25994,Semi-Auto,21657,Diesel,145,62.8,2.0
 5 Series,2019,53391,Automatic,10,Diesel,145,65.7,2.0
 2 Series,2019,43472,Automatic,10,Diesel,145,64.2,2.0
 4 Series,2019,45494,Automatic,10,Petrol,145,45.6,2.0
 4 Series,2019,45494,Automatic,10,Petrol,145,45.6,2.0
 5 Series,2019,38854,Automatic,14139,Diesel,145,55.4,2.0
 X3,2019,55634,Semi-Auto,999,Diesel,145,48.7,3.0
 X5,2019,67594,Semi-Auto,11,Diesel,145,37.7,3.0
 3 Series,2020,36399,Semi-Auto,6,Petrol,145,42.2,2.0
 X6,2020,76699,Semi-Auto,3,Petrol,145,26.4,3.0
 2 Series,2016,18194,Semi-Auto,42569,Diesel,20,68.9,1.5
 5 Series,2018,38994,Semi-Auto,39000,Diesel,150,51.4,3.0
 X6,2019,71500,Semi-Auto,2455,Diesel,145,34.9,3.0
 4 Series,2020,62602,Semi-Auto,10,Petrol,145,44.8,2.0
 1 Series,2017,18200,Manual,32380,Diesel,30,65.7,2.0
 X1,2019,29900,Manual,1571,Petrol,145,51.4,1.5
 1 Series,2017,18850,Manual,13681,Diesel,145,65.7,2.0
 2 Series,2015,16900,Semi-Auto,47555,Diesel,30,65.7,2.0
 5 Series,2016,18194,Semi-Auto,45850,Diesel,20,68.9,2.0
 2 Series,2017,20085,Manual,20663,Petrol,30,55.4,1.5
 2 Series,2020,37635,Semi-Auto,10,Petrol,145,40.9,1.5
 3 Series,2020,51935,Semi-Auto,10,Diesel,145,48.7,2.0
 X3,2019,53885,Semi-Auto,5425,Diesel,145,36.7,3.0
 1 Series,2019,30550,Semi-Auto,3000,Petrol,145,40.4,1.5
 X3,2019,46233,Semi-Auto,642,Diesel,145,54.3,2.0
 3 Series,2018,33085,Semi-Auto,16735,Diesel,145,51.4,3.0
 X1,2014,14235,Semi-Auto,52900,Diesel,160,52.3,2.0
 Z4,2019,40934,Automatic,3644,Petrol,145,38.7,2.0
 1 Series,2019,21954,Automatic,11747,Diesel,145,72.4,1.5
 5 Series,2019,51994,Automatic,10,Hybrid,135,156.9,2.0
 4 Series,2019,44194,Automatic,10,Diesel,145,60.1,2.0
 4 Series,2019,42894,Automatic,10,Petrol,145,48.7,2.0
 4 Series,2019,51994,Automatic,10,Diesel,145,60.1,2.0
 2 Series,2019,29894,Manual,10,Petrol,145,42.8,1.5
 2 Series,2019,35064,Manual,10,Petrol,145,52.3,1.5
 X5,2019,60437,Semi-Auto,13015,Diesel,145,37.7,3.0
 3 Series,2019,35744,Manual,1841,Diesel,145,54.3,2.0
 4 Series,2019,45494,Automatic,10,Petrol,145,48.7,2.0
 4 Series,2019,51994,Automatic,10,Diesel,145,50.4,3.0
 1 Series,2019,21954,Automatic,8503,Diesel,145,72.4,1.5
 X1,2017,22094,Manual,19980,Diesel,20,68.9,2.0
 1 Series,2016,24694,Semi-Auto,24075,Petrol,235,37.7,3.0
 1 Series,2017,18194,Semi-Auto,42430,Diesel,145,70.6,2.0
 X3,2019,48087,Semi-Auto,5527,Diesel,145,48.7,3.0
 3 Series,2014,18194,Semi-Auto,67319,Diesel,30,62.8,2.0
 X3,2019,48087,Semi-Auto,5104,Diesel,145,54.3,2.0
 X2,2019,36387,Semi-Auto,8592,Diesel,145,58.9,2.0
 3 Series,2019,51994,Automatic,999,Petrol,145,34.9,3.0
 X1,2020,28599,Manual,18,Petrol,145,51.4,1.5
 1 Series,2019,30284,Semi-Auto,4694,Diesel,150,57.7,1.5
 X5,2016,37694,Automatic,46085,Diesel,200,47.1,3.0
 8 Series,2020,81894,Semi-Auto,11,Petrol,145,31.7,3.0
 3 Series,2013,16894,Manual,37333,Diesel,150,55.4,2.0
 i3,2017,24694,Automatic,33021,Hybrid,0,470.8,0.0
 1 Series,2016,18194,Semi-Auto,41397,Diesel,30,65.7,2.0
 M2,2020,55899,Semi-Auto,15,Petrol,150,29.1,3.0
 3 Series,2017,27294,Semi-Auto,20400,Hybrid,140,134.5,2.0
 4 Series,2018,27294,Semi-Auto,14972,Petrol,150,45.6,2.0
 4 Series,2019,33134,Automatic,5627,Petrol,145,45.6,2.0
 M4,2019,62394,Automatic,999,Petrol,145,34.0,3.0
 3 Series,2019,45494,Automatic,5873,Diesel,145,50.4,2.0
 4 Series,2019,38994,Automatic,999,Diesel,145,53.3,3.0
 M2,2019,61094,Automatic,999,Petrol,145,29.1,3.0
 1 Series,2019,36254,Automatic,999,Diesel,145,51.4,2.0
 4 Series,2019,39585,Automatic,10638,Petrol,145,39.2,3.0
 X5,2019,58354,Automatic,12082,Diesel,145,37.7,3.0
 3 Series,2019,44194,Semi-Auto,7974,Hybrid,135,8.8,2.0
 3 Series,2016,25344,Semi-Auto,29125,Diesel,150,56.5,3.0
 3 Series,2019,41594,Automatic,999,Petrol,145,42.2,2.0
 X3,2017,24694,Semi-Auto,60000,Diesel,150,54.3,2.0
 1 Series,2017,25994,Manual,26574,Petrol,150,46.3,2.0
 3 Series,2015,22094,Semi-Auto,67000,Diesel,200,49.6,3.0
 1 Series,2017,29900,Semi-Auto,13783,Petrol,150,39.8,3.0
 4 Series,2019,44967,Automatic,999,Petrol,145,45.6,2.0
 1 Series,2019,25854,Manual,999,Diesel,145,72.4,1.5
 3 Series,2016,24554,Automatic,17749,Diesel,145,56.5,3.0
 1 Series,2017,20794,Manual,15992,Diesel,30,65.7,2.0
 5 Series,2020,53294,Semi-Auto,2712,Hybrid,145,55.4,2.0
 2 Series,2019,29894,Manual,999,Petrol,145,42.2,1.5
 X1,2019,36394,Automatic,999,Petrol,145,35.3,2.0
 3 Series,2019,40154,Manual,999,Diesel,145,54.3,2.0
 5 Series,2019,40294,Automatic,999,Diesel,145,65.7,2.0
 3 Series,2019,44054,Automatic,999,Diesel,145,50.4,2.0
 4 Series,2019,51858,Automatic,5806,Diesel,145,51.4,3.0
 1 Series,2019,35088,Manual,3250,Petrol,145,41.5,1.5
 X6,2019,76687,Semi-Auto,3371,Diesel,145,34.9,3.0
 5 Series,2019,41314,Semi-Auto,13384,Diesel,145,60.1,3.0
 3 Series,2019,39989,Semi-Auto,3465,Diesel,150,52.3,2.0
 Z4,2014,3999,Manual,31074,Petrol,205,41.5,2.0
 2 Series,2019,25155,Automatic,10500,Diesel,145,51.4,2.0
 X3,2018,37989,Semi-Auto,9406,Diesel,145,54.3,2.0
 3 Series,2019,38680,Semi-Auto,8853,Diesel,145,52.3,2.0
 X5,2019,62387,Semi-Auto,7275,Diesel,145,37.7,3.0
 1 Series,2017,28226,Automatic,25500,Petrol,145,39.8,3.0
 2 Series,2019,30047,Semi-Auto,8039,Petrol,145,47.9,2.0
 1 Series,2017,17980,Manual,20112,Petrol,150,53.3,1.5
 1 Series,2017,26105,Semi-Auto,32000,Petrol,200,39.8,3.0
 1 Series,2017,19494,Manual,16366,Diesel,150,65.7,2.0
 3 Series,2019,28594,Semi-Auto,18000,Diesel,145,62.8,2.0
 3 Series,2020,45494,Semi-Auto,11,Diesel,145,49.6,2.0
 3 Series,2020,50122,Semi-Auto,11,Petrol,145,34.9,3.0
 X3,2019,46144,Semi-Auto,6156,Diesel,145,48.7,3.0
 3 Series,2020,54022,Semi-Auto,9,Petrol,145,33.6,3.0
 X5,2019,61077,Semi-Auto,9820,Diesel,145,37.7,3.0
 2 Series,2020,47802,Semi-Auto,485,Petrol,145,36.2,2.0
 4 Series,2014,19423,Semi-Auto,49460,Petrol,165,44.1,2.0
 3 Series,2014,16030,Semi-Auto,41000,Diesel,30,62.8,2.0
 X1,2019,33384,Automatic,1768,Diesel,145,65.7,2.0
 Z4,2019,41080,Automatic,2200,Petrol,145,37.2,2.0
 X1,2017,23219,Semi-Auto,20932,Diesel,30,65.7,2.0
 2 Series,2018,22012,Semi-Auto,16132,Diesel,150,64.2,2.0
 X3,2019,44790,Semi-Auto,10032,Diesel,145,54.3,2.0
 1 Series,2019,41328,Semi-Auto,6000,Petrol,150,34.5,2.0
 2 Series,2018,31799,Semi-Auto,5190,Petrol,150,32.5,3.0
 X2,2019,48075,Semi-Auto,7197,Petrol,150,34.0,2.0
 5 Series,2019,36881,Semi-Auto,6251,Petrol,145,50.4,2.0
 3 Series,2019,41665,Automatic,4700,Diesel,145,52.3,2.0
 1 Series,2019,40170,Automatic,5345,Petrol,145,34.5,2.0
 3 Series,2019,53937,Automatic,4830,Diesel,145,43.5,3.0
 X3,2019,73219,Semi-Auto,4620,Petrol,145,24.8,3.0
 M4,2019,63713,Automatic,837,Petrol,145,34.0,3.0
 X5,2020,81888,Semi-Auto,123,Diesel,145,37.7,3.0
 3 Series,2020,50688,Semi-Auto,132,Diesel,145,52.3,2.0
 X1,2020,48088,Semi-Auto,800,Diesel,145,60.1,2.0
 6 Series,2020,58488,Semi-Auto,123,Diesel,145,42.2,2.0
 3 Series,2015,18148,Automatic,33330,Diesel,125,60.1,2.0
 X3,2017,25935,Automatic,49100,Diesel,145,54.3,2.0
 1 Series,2017,17836,Manual,9617,Petrol,150,53.3,1.5
 X2,2020,51988,Semi-Auto,700,Petrol,145,34.0,2.0
 6 Series,2017,41630,Semi-Auto,3546,Diesel,145,48.7,3.0
 5 Series,2018,47011,Semi-Auto,9270,Petrol,145,39.2,3.0
 X1,2019,33826,Automatic,3197,Diesel,145,65.7,2.0
 4 Series,2019,38896,Semi-Auto,5732,Diesel,145,60.1,2.0
 4 Series,2019,36361,Semi-Auto,7383,Petrol,145,48.7,2.0
 1 Series,2015,14684,Automatic,27054,Diesel,20,72.4,1.5
 X5,2017,52211,Automatic,10914,Diesel,145,42.8,3.0
 X1,2018,29266,Semi-Auto,14100,Diesel,145,60.1,2.0
 Z4,2020,51988,Semi-Auto,202,Petrol,145,37.2,2.0
 8 Series,2020,90988,Semi-Auto,419,Petrol,145,33.2,3.0
 8 Series,2020,87088,Semi-Auto,123,Petrol,145,33.2,3.0
